Rank,T.L.A. (RCA if not TLA),Crash Road,Side Road,Easting,Northing,Minor Injury crashes 2003-12,Serious Injury crashes 2003-12,Fatal crashes 2003-12,Total Injury Crashes 2003-12,Minor Injuries 2003-2012,Serious Injuries 2003-12,Fatalities 2003-12,Total Casualties 2003 - 2012
1,Auckland,Glenbrook Road,Kingseat Road,1760350,5885015,17,4,2,23,40,7,3,50
2,Taupo District (NZTA),SH 1 (Thermal Explorer Highway),Poihipi Road,1867032,5715010,20,5,0,25,35,6,0,41
3,Taupo District (NZTA),SH 5 (Napier - Taupo Road),Arrowsmith Avenue,1869261,5711486,15,2,1,18,25,4,1,30
4,Rotorua District (NZTA),SH 30 (Hemo Road),SH 5 (Old Taupo Road),1884379,5770782,14,3,0,17,20,3,0,23
5,Napier City (NZTA),SH 2 (Main North Road),SH2B (Napier - Hastings Expressway),1933518,5623356,14,5,1,20,24,7,1,32
6,Auckland,Waiuku Road,Attewell Road,1765886,5878541,16,1,2,19,29,2,2,33
7,Auckland,Great North Road,Bullock Track,1754254,5918542,35,5,1,41,48,5,1,54
8,New Plymouth District (NZTA),SH 3 (Devon Road),Mangati Road,1699827,5678846,16,7,0,23,31,12,0,43
9,Waikato District (NZTA),SH 1B (Telephone Road),Holland Road,1808628,5819850,18,1,1,20,33,1,1,35
10,Auckland,Tamaki Drive,Ngapipi Road,1760965,5919957,27,7,0,34,31,7,0,38
11,Auckland,Dairy Flat Highway,Coatesville - Riverhead Highway,1748984,5935924,15,5,0,20,22,5,0,27
12,Auckland,Pukekohe East Road,Mill Road,1773839,5881320,15,0,1,16,21,0,1,22
13,South Waikato District (NZTA),SH 1,SH 5 (Thermal Explorer Highway),1843058,5792236,10,10,2,22,26,13,3,42
14,Christchurch City (NZTA),SH 1 (Russley Road),Memorial Avenue,1563598,5184311,26,4,0,30,34,4,0,38
15,Upper Hutt City (NZTA),SH 2 (River Road),Whakatiki Street,1771838,5446138,9,8,0,17,15,10,0,25
16,Auckland,Hibiscus Coast Highway,Silverdale Street,1749948,5946088,18,2,1,21,30,3,1,34
17,Marlborough District (NZTA),SH 1,Ferry Road,1680353,5409656,12,2,1,15,20,3,1,24
18,New Plymouth District (NZTA),SH 3 (Main North Road),Princess St,1708284,5682356,17,0,1,18,31,0,1,32
19,Hastings District (NZTA),SH 50 (Napier - Hastings Expressway),SH 50 (Links Road),1930935,5613540,14,4,1,19,28,5,1,34
20,Auckland,Te Irirangi Drive,Ormiston Road,1769327,5907459,20,3,0,23,31,4,0,35
21,Palmerston North City (NZTA),SH 3 (Rangitikei Line),SH 54 (Kairanga Bunnythorpe Road),1818760,5533644,13,5,0,18,18,7,0,25
22,Hauraki District (NZTA),SH 2,SH 25,1807722,5871912,9,4,2,15,19,5,2,26
23,Auckland (NZTA),SH 1N,Wayby Valley Road,1738806,5978422,9,3,1,13,23,6,1,30
24,Hastings District (NZTA),SH 2 (Railway Road South),SH 50A Paki Paki Road),1925321,5599568,8,5,0,13,19,6,0,25
25,Christchurch City (NZTA),SH 74 (Main North Road),SH 74 (Queen Elizabeth II Drive),1568976,5185299,29,6,1,36,40,9,1,50
26,Christchurch City,Marshland Road,Shirley Road,1572749,5182709,28,6,0,34,42,6,0,48
27,Christchurch City,Barrington Street,Lincoln Road,1568401,5178543,23,5,1,29,34,6,1,41
28,Dunedin City (NZTA),SH 1,Great King Street,1407197,4918962,24,3,0,27,39,3,0,42
29,Auckland,Fanshawe Street,Albert Street,1757400,5920942,29,1,0,30,35,1,0,36
30,Christchurch City,Linwood Avenue,Aldwins Road,1573589,5179867,20,11,0,31,25,11,0,36
31,Christchurch City,Marshland Road,Hawkins Road,1572355,5187708,5,8,0,13,16,10,0,26
32,Wellington City (NZTA),SH 1 (Inner City Bypass),Victoria Street,1748338,5426862,21,1,1,23,34,2,1,37
33,Auckland,Symonds Street,City Road,1757321,5919507,19,5,0,24,19,5,0,24
34,Palmerston North City (NZTA),SH 3 (Rangitikei Street),Featherston Street,1821348,5530149,29,2,0,31,34,2,0,36
35,Waipa District (NZTA),SH 1 (Achilles Avenue),Shakespeare Street,1818019,5802984,12,3,2,17,18,4,2,24
36,Hamilton City (NZTA),SH 1 (Cobham Drive),Grey Street,1802513,5813528,16,3,0,19,21,3,0,24
37,Auckland,Ti Rakau Drive,Pakuranga Highway,1766663,5912928,26,4,0,30,26,5,0,31
38,Auckland,Queen Street,Shortland Street,1757464,5920716,18,3,0,21,20,3,0,23
39,Horowhenua District (NZTA),SH 1 (South Road),SH 57 (Kimberley Road),1791111,5497863,11,2,0,13,19,2,0,21
40,Auckland,Ash Street,Rosebank Road,1750837,5915590,28,2,1,31,37,4,1,42
41,Auckland,Murphys Road,Flat Bush School Road,1771125,5906162,7,4,1,12,20,10,1,31
42,Auckland,Te Irirangi Drive,Smales Road,1769943,5909844,19,4,0,23,29,5,0,34
43,Wellington City,Courtenay Place,Taranaki Street,1748949,5427247,20,7,1,28,22,7,1,30
44,Auckland,Pakuranga Road,Aviemore Drive,1769862,5914774,28,3,0,31,34,3,0,37
45,Auckland,Karangahape Road,Queen Street,1757025,5919442,26,2,0,28,32,2,0,34
46,Auckland,Te Atatu Road,Edmonton Road,1746817,5918818,23,2,0,25,32,2,0,34
47,Waimakariri District (NZTA),SH 1 (Main North Road),Williams Street,1572671,5199961,9,5,1,15,20,6,1,27
48,Auckland (NZTA),SH 16 (Kaipara Coast Highway),Kahikatea Flat Road,1734308,5945724,4,5,0,9,11,5,0,16
